market,date,sierra_width,databento_width,absolute_difference,sierra_eligible_4_120,databento_eligible_4_120,classification_disagreement
ES,2023-03-07,6.0,6.0,0.0,True,True,False
ES,2023-03-08,11.75,11.75,0.0,True,True,False
ES,2023-03-09,21.25,21.25,0.0,True,True,False
ES,2023-03-10,37.25,37.25,0.0,True,True,False
ES,2023-03-13,56.0,56.0,0.0,True,True,False
ES,2023-03-14,21.0,21.0,0.0,True,True,False
ES,2023-03-15,26.25,26.25,0.0,True,True,False
ES,2023-03-16,24.0,24.0,0.0,True,True,False
ES,2023-03-17,19.75,19.75,0.0,True,True,False
ES,2023-03-20,21.25,21.25,0.0,True,True,False
ES,2023-03-21,9.5,9.5,0.0,True,True,False
ES,2023-03-22,8.0,8.0,0.0,True,True,False
ES,2023-03-23,12.75,12.75,0.0,True,True,False
ES,2023-03-24,26.75,26.75,0.0,True,True,False
ES,2023-03-27,15.75,15.75,0.0,True,True,False
ES,2023-03-28,10.75,10.75,0.0,True,True,False
ES,2023-03-29,7.0,7.0,0.0,True,True,False
ES,2023-03-30,6.5,6.5,0.0,True,True,False
ES,2023-03-31,13.25,13.25,0.0,True,True,False
ES,2023-04-03,19.0,19.0,0.0,True,True,False
ES,2023-04-04,12.5,12.5,0.0,True,True,False
ES,2023-04-05,8.75,8.75,0.0,True,True,False
ES,2023-04-06,12.75,12.75,0.0,True,True,False
ES,2023-04-10,9.25,9.25,0.0,True,True,False
ES,2023-04-11,9.25,9.25,0.0,True,True,False
ES,2023-04-12,20.25,20.25,0.0,True,True,False
ES,2023-04-13,8.5,8.5,0.0,True,True,False
ES,2023-04-14,23.0,23.0,0.0,True,True,False
ES,2023-04-17,10.0,10.0,0.0,True,True,False
ES,2023-04-18,12.5,12.5,0.0,True,True,False
ES,2023-04-19,5.5,5.5,0.0,True,True,False
ES,2023-04-20,12.25,12.25,0.0,True,True,False
ES,2023-04-21,14.0,14.0,0.0,True,True,False
ES,2023-04-24,10.5,10.5,0.0,True,True,False
ES,2023-04-25,11.5,11.5,0.0,True,True,False
ES,2023-04-26,9.75,9.75,0.0,True,True,False
ES,2023-04-27,11.25,11.25,0.0,True,True,False
